Gene	GC	Length
ENSG00000260345.AC009052.12	46.70	1682
ENSG00000213828.AC017028.1	67.38	560
ENSG00000260696.TAS2R38	48.21	1142
ENSG00000197841.ZNF181	40.11	8717
ENSG00000223777.AC092162.2	50.92	433
ENSG00000224328.MDC1-AS1	50.88	10117
ENSG00000214719.AC005562.1	45.64	96325
ENSG00000146021.KLHL3	42.71	118590
ENSG00000110756.HPS5	39.75	43522
ENSG00000263218.CTD-2561B21.7	65.43	621
ENSG00000142528.ZNF473	48.48	27700
ENSG00000101294.HM13	49.35	55139
ENSG00000255282.WTAPP1	39.42	89798
ENSG00000252084.7SK	41.96	142
ENSG00000154222.CC2D1B	51.22	20470
ENSG00000196497.IPO4	58.13	8745
ENSG00000144134.RABL2A	49.92	16167
ENSG00000265627.AC093807.1	58.42	100
ENSG00000235493.AC092415.1	38.69	31394
ENSG00000224950.RP5-1086K13.1	50.73	6189
ENSG00000265858.AL031176.1	36.59	81
ENSG00000266255.MIR4475	37.70	60
ENSG00000196950.SLC39A10	38.48	161725
ENSG00000188266.AGPHD1	43.18	29808
ENSG00000132600.PRMT7	48.59	47589
ENSG00000230543.SNX3P1X	58.86	174
ENSG00000252660.Y_RNA	43.14	101
ENSG00000139445.FOXN4	51.97	31241
ENSG00000263364.AC021052.1	54.29	69
ENSG00000160803.UBQLN4	50.71	18493
ENSG00000104973.MED25	56.02	20534
ENSG00000228016.RAPGEF4-AS1	41.76	59065
ENSG00000156218.ADAMTSL3	39.81	385756
ENSG00000251003.RP11-152P17.2	36.86	280278
ENSG00000254862.RP11-159H22.2	44.94	10704
ENSG00000201868.Y_RNA	44.68	93
ENSG00000260733.RP11-264L1.4	43.07	10642
ENSG00000255561.FDXACB1	44.18	7187
ENSG00000250433.RP11-13L2.2	44.35	3178
ENSG00000249055.TBCAP3	40.71	311
ENSG00000231874.TSPY18P	55.28	1117
ENSG00000199069.MIR323A	50.00	85
ENSG00000213431.RP11-301G23.1	36.64	1200
ENSG00000227803.RP11-239H6.2	41.81	82388
ENSG00000225791.RP1-180E22.3	44.98	2042
ENSG00000225038.TRIM31-AS1	46.09	9482
ENSG00000261367.RP11-455F5.4	53.44	2866
ENSG00000203602.AL137059.1	48.18	466
ENSG00000049759.NEDD4L	43.36	357173
ENSG00000219773.RP11-506B6.3	51.49	873
ENSG00000121390.PSPC1	40.28	108246
ENSG00000252755.U6	40.19	106
ENSG00000252218.SCARNA15	38.58	126
ENSG00000228818.RP11-567G24.1	51.99	2719
ENSG00000228709.AP001065.15	47.62	4711
ENSG00000160856.FCRL3	40.32	24504
ENSG00000264984.MIR5691	54.41	67
ENSG00000216687.RP11-278J20.2	34.06	1414
ENSG00000240257.GAGE2D	44.37	7260
ENSG00000180901.KCTD2	49.14	33314
ENSG00000232536.RP11-74C1.4	45.61	21339
ENSG00000131462.TUBG1	53.10	5558
ENSG00000265010.RP11-661C3.2	44.73	1613
ENSG00000254747.RP11-664H7.1	32.65	290
ENSG00000205913.SRRM2-AS1	56.05	15524
ENSG00000223675.RP11-86H7.6	40.06	6741
ENSG00000265766.CXADRP3	38.67	21323
ENSG00000235014.REREP2Y	37.67	9817
ENSG00000262271.CTD-2535P7.1	48.26	1698
ENSG00000202609.MIR488	39.76	82
ENSG00000262906.RP11-536P16.4	41.44	3862
ENSG00000253760.RP11-48B3.2	42.45	456
ENSG00000160678.S100A1	55.62	4111
ENSG00000062650.WAPAL	39.87	86559
ENSG00000183783.KCTD8	35.64	274898
ENSG00000112486.CCR6	45.54	27889
ENSG00000092621.PHGDH	44.18	84417
ENSG00000264183.AC091038.1	60.00	99
ENSG00000233018.RP4-597N16.1	54.42	225
ENSG00000233020.RP11-42O15.2	40.02	966
ENSG00000266090.AC012603.1	34.51	112
ENSG00000186814.ZSCAN30	42.35	39164
ENSG00000124587.PEX6	52.03	15350
ENSG00000267655.CTD-2286N8.2	40.34	713
ENSG00000249069.RP11-461C13.1	39.50	94183
ENSG00000223916.RP11-353H3.1	57.43	908
ENSG00000224890.RP11-525G7.2	44.24	424
ENSG00000263384.AL354732.1	68.67	82
ENSG00000204376.XAGE1D	41.96	5144
ENSG00000207993.MIR134	60.19	102
ENSG00000131910.NR0B2	53.51	2477
ENSG00000159648.TEPP	50.91	11681
ENSG00000237668.WI2-80423F1.1	45.43	371
ENSG00000265278.Y_RNA	42.98	113
ENSG00000172733.PURG	36.48	37910
ENSG00000182272.B4GALNT4	65.98	12320
ENSG00000236697.GPSM3	52.71	4757
ENSG00000262037.ZNF66P	38.41	31116
ENSG00000179133.C10orf67	41.65	77650
ENSG00000215354.FAM90A24P	55.12	11217
ENSG00000268011.RP11-104D21.2	38.46	8410
ENSG00000264588.Metazoa_SRP	55.76	268
ENSG00000100591.AHSA1	46.04	11604
ENSG00000263793.MIR3115	41.18	67
ENSG00000249870.RP11-481C4.1	39.35	42947
ENSG00000248950.LDHBP3	34.18	821
ENSG00000171872.KLF17	45.36	16290
ENSG00000253106.RP11-158K1.3	40.87	3133
ENSG00000183145.DSCR6	48.79	13509
ENSG00000085760.MTIF2	39.60	32752
ENSG00000184863.RBM33	40.78	137034
ENSG00000268201.CTD-3138B18.6	48.14	1050
ENSG00000229723.AL845154.2	42.85	4389
ENSG00000125945.ZNF436	46.00	9994
ENSG00000252665.SNORA25	41.23	113
ENSG00000221488.AC092017.1	29.79	93
ENSG00000250363.KRT18P21	56.21	1271
ENSG00000170540.ARL6IP1	40.91	10009
ENSG00000230860.CCNB1IP1P2	42.67	817
ENSG00000216471.RPSAP43	52.80	624
ENSG00000249302.FTH1P24	46.75	384
ENSG00000047579.DTNBP1	39.93	140257
ENSG00000264801.RP11-149I2.5	41.81	1616
ENSG00000204860.FAM201A	50.72	4516
ENSG00000161551.ZNF577	40.85	35148
ENSG00000131504.DIAPH1	41.24	104039
ENSG00000269434.GABRR3	38.50	48304
ENSG00000128311.TST	55.99	8781
ENSG00000131797.KIAA0664L3	55.28	9186
ENSG00000200254.U6	41.12	106
ENSG00000260670.RP11-447M4.1	48.61	2976
ENSG00000226453.RP11-379B8.1	38.26	88295
ENSG00000167555.ZNF528	43.66	20563
ENSG00000199562.RNU6-37	45.79	106
ENSG00000228405.RNF5	54.09	5793
ENSG00000249050.RP11-375N15.1	42.84	3720
ENSG00000102977.ACD	62.02	3280
ENSG00000266324.MIR4663	60.53	75
ENSG00000207827.MIR30A	53.52	70
ENSG00000260709.AF146191.1	68.80	483
ENSG00000235932.RP11-250H24.6	48.73	352
ENSG00000053900.ANAPC4	37.97	41285
ENSG00000263735.MIR4662A	34.57	80
ENSG00000174365.SNHG11	53.20	4343
ENSG00000234352.AC009264.1	36.57	496548
ENSG00000232120.RP11-349P19.1	34.91	34984
ENSG00000069188.SDK2	52.30	309705
ENSG00000170624.SGCD	38.49	897145
ENSG00000234239.CFL1P8	51.79	474
ENSG00000268412.AC013449.1	56.62	407
ENSG00000236665.AC114808.2	41.28	2114
ENSG00000236438.FAM157A	44.07	17486
ENSG00000233747.RP11-219F1.1	49.92	640
ENSG00000133136.GNG5P2	45.82	501
ENSG00000242911.RP11-118N24.2	41.00	360
ENSG00000267611.CTC-461H2.2	40.11	186
ENSG00000242829.RPS26P21	50.57	347
ENSG00000254321.RP11-495O10.1	45.51	4229
ENSG00000251820.snoU13	36.36	76
ENSG00000249091.RP11-733C7.1	36.38	4669
ENSG00000172318.B3GALT1	40.30	52184
ENSG00000179958.DCTPP1	53.23	6456
ENSG00000235734.HMGN1P36	48.84	302
ENSG00000185215.TNFAIP2	61.20	13997
ENSG00000258852.CTB-96E2.2	55.91	3723
ENSG00000235132.OR2H1	41.39	7146
ENSG00000134758.RNF138	40.11	39706
ENSG00000173272.MZT2A	51.73	27843
ENSG00000254913.RP4-791M13.5	45.42	3218
ENSG00000257510.RP11-609L23.1	39.53	30995
ENSG00000207040.U6	39.25	106
ENSG00000100075.SLC25A1	67.53	3248
ENSG00000252431.U6	42.86	97
ENSG00000253525.CTD-2114J12.1	40.57	1463
ENSG00000199287.Y_RNA	40.62	95
ENSG00000262241.RP11-748L13.2	34.60	9895
ENSG00000249923.XXbac-B444P24.8	56.46	6189
ENSG00000092010.PSME1	57.40	2809
ENSG00000207042.U6	39.25	106
ENSG00000234332.BCAS2P2	43.86	993
ENSG00000265590.C21ORF59	47.58	35755
ENSG00000241313.WWTR1-AS1	53.12	4344
ENSG00000170209.ANKK1	50.93	12627
ENSG00000226861.RP5-1119O21.2	39.19	2770
ENSG00000198796.ALPK2	44.38	147710
ENSG00000157330.C1orf158	43.88	17684
ENSG00000087495.PHACTR3	47.63	270202
ENSG00000262008.RP11-510M2.8	58.10	801
ENSG00000240961.Metazoa_SRP	50.35	287
ENSG00000256616.RP11-815J4.6	42.04	3422
ENSG00000266760.MIR4464	35.87	91
ENSG00000204887.KRTAP1-4	64.22	407
ENSG00000203620.RP11-84A19.2	46.60	13549
ENSG00000234771.RP11-395P17.3	54.96	7563
ENSG00000253869.RP11-281O15.1	38.28	652
ENSG00000199327.U6	37.50	103
ENSG00000269037.CTC-523E23.6	50.56	2873
ENSG00000206505.HLA-A	55.29	4640
ENSG00000229269.RP11-298A8.2	39.56	65710
ENSG00000244038.DDOST	50.54	9730
ENSG00000214447.FAM187A	51.56	5623
ENSG00000126759.CFP	55.47	6092
ENSG00000186399.GOLGA8R	53.42	10520
ENSG00000233915.RP11-298P6.2	38.70	1397
ENSG00000231518.RP11-327L3.3	39.23	7139
ENSG00000252917.SNORA74	46.75	153
ENSG00000215942.AP000866.1	57.50	79
ENSG00000266081.U1	44.44	143
ENSG00000134020.PEBP4	48.51	286744
ENSG00000226337.RP11-274B18.4	41.74	92224
ENSG00000260587.DOCK3	40.15	708657
ENSG00000240505.TNFRSF13B	48.53	42583
ENSG00000228611.HNF4GP1	42.26	1227
ENSG00000247765.RP11-32B5.7	39.24	27004
ENSG00000202175.RNA5SP128	50.86	115
ENSG00000100418.DESI1	46.95	23068
ENSG00000130287.NCAN	51.51	40204
ENSG00000206600.RNU6-7	44.86	106
ENSG00000144218.AFF3	41.63	595483
ENSG00000259998.RP11-753D20.4	46.05	2351
ENSG00000230788.RP11-560L11.1	35.53	2718
ENSG00000233325.MIPEPP3	38.94	8114
ENSG00000229236.TTTY10	37.35	53560
ENSG00000229413.AC018638.1	65.60	249
ENSG00000238133.MLK7-AS1	39.12	115590
ENSG00000261899.CRIM1	40.24	195209
ENSG00000229342.MYL8P	44.02	517
ENSG00000266052.MIR4500	42.11	75
ENSG00000213903.LTB4R	53.67	6586
ENSG00000255738.GAGE4	41.74	5840
ENSG00000242080.CTC-550M4.1	38.67	299
ENSG00000231251.RP3-357I16.1	51.61	92
ENSG00000184761.AC013269.5	55.30	10788
ENSG00000267998.MIR5196	51.46	1433
ENSG00000165240.ATP7A	38.60	139698
ENSG00000233702.AC107083.1	46.59	278
ENSG00000127080.IPPK	47.93	57081
ENSG00000260092.RP11-77K12.7	49.84	16896
ENSG00000251478.CTD-2122P11.1	41.97	1905
ENSG00000227158.AC073621.2	50.10	1023
ENSG00000263201.CTC-479C5.6	50.08	2475
ENSG00000106462.EZH2	39.21	76938
ENSG00000177464.GPR4	52.99	12444
ENSG00000230991.AC092625.1	35.45	2490
ENSG00000251698.RNA5SP445	48.70	114
ENSG00000264934.MIR4265	59.60	98
ENSG00000240927.Metazoa_SRP	51.64	274
ENSG00000151502.VPS26B	48.40	23147
ENSG00000183016.IQCA1P1	56.61	14621
ENSG00000222014.RAB6C	43.19	3076
ENSG00000202001.Y_RNA	42.11	94
ENSG00000188909.BSX	53.87	4150
ENSG00000229957.RP5-998H6.2	48.45	2833
ENSG00000265633.7SK	52.15	302
ENSG00000267663.RP11-64C12.9	53.53	466
ENSG00000252127.SNORA70	49.47	94
ENSG00000249767.RP11-1286E23.1	45.29	62585
ENSG00000257498.BX927220.4	47.81	21178
ENSG00000201882.snoU2-30	40.00	69
ENSG00000266404.U85056.2	56.25	95
ENSG00000257995.RP11-632B21.1	33.65	5063
ENSG00000223455.RP11-781P14.3	58.33	179
ENSG00000253641.RP11-981G7.2	45.91	7409
ENSG00000006025.OSBPL7	57.86	14462
ENSG00000257771.RP11-70F11.8	48.56	18367
ENSG00000239955.Metazoa_SRP	51.61	278
ENSG00000204217.BMPR2	41.04	190815
ENSG00000238715.snoU13	39.60	100
ENSG00000134954.ETS1	42.50	128781
ENSG00000030066.NUP160	41.86	70468
ENSG00000241449.RP11-545G3.1	45.41	36134
ENSG00000083520.DIS3	36.24	26694
ENSG00000232912.RP5-1115A15.1	45.00	10193
ENSG00000255010.RP11-113K21.3	50.00	381
ENSG00000157778.PSMG3	57.70	3675
ENSG00000110723.EXPH5	41.40	88307
ENSG00000267835.RP11-274K13.2	62.92	1183
ENSG00000203832.NBPF20	44.24	97257
ENSG00000254749.RP11-734C14.10	51.77	816
ENSG00000268474.HIST2H3C	61.23	1655
ENSG00000253250.RP11-122A3.2	32.98	26620
ENSG00000226264.HLA-DMB	45.02	18497
ENSG00000122674.CCZ1	46.12	27249
ENSG00000225310.AC022002.5	39.71	344
ENSG00000223620.RBM48P1	39.04	1267
ENSG00000129744.ART1	49.29	19288
ENSG00000236663.AP001631.9	56.84	569
ENSG00000235204.RP11-121A14.2	49.76	1906
ENSG00000230773.AC079807.4	40.04	299287
ENSG00000149212.SESN3	35.27	67001
ENSG00000232024.LSM12P1	48.98	587
ENSG00000227122.PRRT1	58.60	6014
ENSG00000170606.HSPA4	41.31	54487
ENSG00000251308.MRPS33P3	41.93	321
ENSG00000112893.MAN2A1	36.58	180259
ENSG00000223833.NCR3	51.86	4089
ENSG00000256339.RP11-233G1.4	38.73	3616
ENSG00000235138.RP11-374P20.4	61.63	4515
ENSG00000252921.U3	41.84	140
ENSG00000265770.Metazoa_SRP	53.87	296
ENSG00000267519.CTD-3252C9.4	55.64	1773
ENSG00000231090.RP11-101C11.1	41.47	16316
ENSG00000182197.EXT1	41.16	317363
ENSG00000250223.EMCN-IT3	35.32	14834
ENSG00000262861.RP11-461A8.5	47.18	8433
ENSG00000235865.GSN-AS1	52.28	4762
ENSG00000001084.GCLC	40.16	119629
ENSG00000164935.DCSTAMP	44.24	17602
ENSG00000186136.TAS2R42	39.15	944
ENSG00000223991.AC104809.2	60.55	4557
ENSG00000184494.NEU1	52.86	5247
ENSG00000214657.RP11-120J4.1	51.48	304
ENSG00000251548.RP11-215G15.4	50.89	618
ENSG00000262948.RPL23AP64	48.97	434
ENSG00000237349.RP5-1065J22.2	40.28	282
ENSG00000259470.KRT8P9	56.73	1448
ENSG00000135829.DHX9	38.24	48382
ENSG00000215838.RP11-466F5.5	42.95	11218
ENSG00000249111.RP11-622J8.1	35.63	23312
ENSG00000233840.PCDH9-AS4	36.05	11121
ENSG00000255030.OR8B5P	41.32	909
ENSG00000258431.RP1-292L20.2	46.59	585
ENSG00000249731.RP11-259O2.3	38.26	919
ENSG00000240244.GAPDHP33	47.19	1012
ENSG00000233191.AC006372.6	54.99	3547
ENSG00000223851.PTMAP1	51.69	266
ENSG00000248243.RP11-93K22.13	50.43	4871
ENSG00000131374.TBC1D5	37.61	1286410
ENSG00000165555.NOXRED1	41.41	29496
ENSG00000186675.MAGEE2	46.88	2256
ENSG00000108381.ASPA	41.06	31045
ENSG00000100294.MCAT	52.14	10514
ENSG00000233296.AC092159.2	43.48	20185
ENSG00000177400.OR7E8P	49.30	999
ENSG00000259140.RP11-986E7.2	44.70	952
ENSG00000223373.AC108066.1	38.98	8806
ENSG00000266374.AC026512.1	67.57	73
ENSG00000262796.OR8J1	40.41	1073
ENSG00000254534.RP11-748H22.2	41.97	4026
ENSG00000223873.AC013733.5	50.98	458
ENSG00000169193.CCDC126	41.98	47329
ENSG00000238110.RP11-350E12.5	65.78	747
ENSG00000059588.TARBP1	40.27	87790
ENSG00000199325.U4	45.67	126
ENSG00000254652.RP11-678P16.1	47.15	2907
ENSG00000266829.Metazoa_SRP	54.15	276
ENSG00000265021.AC239798.4	46.67	134
ENSG00000264796.MIR5009	34.00	99
ENSG00000207000.U6	41.12	106
ENSG00000164659.KIAA1324L	37.30	182793
ENSG00000254621.SETP16	38.68	710
ENSG00000224641.HCG20	46.93	25428
ENSG00000207515.U6	34.91	105
ENSG00000005844.ITGAL	50.43	50310
ENSG00000225303.RP11-512N4.2	36.36	1432
ENSG00000262517.RP5-905G11.5	45.48	430
ENSG00000115421.PAPOLG	39.60	45855
ENSG00000224851.LINC00502	39.74	14993
ENSG00000258392.RPA2P	40.92	720
ENSG00000263498.RP11-38J22.2	40.26	389
ENSG00000175182.FAM131A	56.43	10349
ENSG00000243290.IGKV1-12	50.38	521
ENSG00000131007.TTTY9B	38.47	9315
ENSG00000232985.RP11-442O18.1	49.34	1290
ENSG00000241950.RPL29P22	49.77	441
ENSG00000204866.IGFL2	40.54	18193
ENSG00000241785.Metazoa_SRP	50.71	279
ENSG00000226172.RP4-712E4.1	58.72	1048
ENSG00000262244.RDH13	52.13	32183
ENSG00000168906.MAT2A	44.46	6115
ENSG00000263209.OR8K2P	36.68	926
ENSG00000257915.GLULP5	46.19	1389
ENSG00000256325.RP11-611O2.1	37.61	435
ENSG00000242876.Metazoa_SRP	52.55	273
ENSG00000187950.OVCH1	37.28	85212
ENSG00000230150.XXbac-BPG254F23.7	38.51	830
ENSG00000205452.RP11-812E19.3	48.62	10698
ENSG00000204502.PRAMEF5	47.44	9238
ENSG00000143278.F13B	34.07	28076
ENSG00000188186.LAMTOR4	53.24	7037
ENSG00000218018.RP4-800J21.3	59.44	8902
ENSG00000256633.RP11-169D4.2	56.95	3407
ENSG00000254143.RP11-470M17.2	39.77	11154
ENSG00000138115.CYP2C8	37.60	32724
ENSG00000076382.SPAG5	46.50	21705
ENSG00000263867.RP11-822E23.3	40.89	202
ENSG00000213373.LINC00671	48.75	24064
ENSG00000264725.MIR3129	43.42	75
ENSG00000100393.EP300	42.33	88291
ENSG00000267688.AC005262.2	59.13	1012
ENSG00000138326.RPS24	47.43	23052
ENSG00000265376.hsa-mir-466	35.71	83
ENSG00000215343.ZNF705D	36.88	11127
ENSG00000122952.ZWINT	48.07	4047
ENSG00000261306.SURF6	56.31	5682
ENSG00000236445.LINC00608	47.10	4061
ENSG00000252030.U6	36.17	93
ENSG00000237699.RP11-199F6.4	50.25	1768
ENSG00000269695.AL662890.14	50.93	107
ENSG00000233610.LINC00462	46.01	1114
ENSG00000201852.U6	42.06	106
ENSG00000251692.PTX4	64.18	3095
ENSG00000164120.HPGD	36.73	32977
ENSG00000249777.CTC-235G5.1	42.56	389
ENSG00000262897.KIR3DL2	47.10	16786
ENSG00000238139.RP11-393N21.1	54.01	373
ENSG00000233149.GTF2H4	51.16	5922
ENSG00000243072.GS1-388B5.2	44.98	208
ENSG00000267609.AC004790.4	60.46	1266
ENSG00000223075.7SK	48.33	299
ENSG00000231636.AGBL5-AS1	65.98	581
ENSG00000252650.RNA5SP75	54.95	110
ENSG00000145283.SLC10A6	40.98	25795
ENSG00000222017.AC011997.1	38.35	81717
ENSG00000234163.RP11-479G22.6	32.50	279
ENSG00000249142.CTD-2290P7.1	50.72	1107
ENSG00000149357.LAMTOR1	48.06	17492
ENSG00000156384.SFR1	37.96	4327
ENSG00000155026.RSPH10B	48.15	45137
ENSG00000238455.snoU13	37.25	101
ENSG00000211907.IGHD1-26	50.00	19
ENSG00000254434.CTD-2555I5.1	40.75	6291
ENSG00000229131.AC016710.1	36.57	7972
ENSG00000254158.RP11-281O15.5	51.48	846
ENSG00000108242.CYP2C18	38.16	53237
ENSG00000257521.AL662859.1	49.09	9191
ENSG00000229782.AC118754.4	66.81	2280
ENSG00000153093.ACOXL	42.65	385649
ENSG00000135632.SMYD5	50.97	13015
ENSG00000236546.RP1-118J21.5	49.41	1353
ENSG00000223887.PRR3	45.00	6837
ENSG00000201660.SNORA20	34.62	129
ENSG00000171943.SRGAP2C	44.32	22825
ENSG00000250856.RP11-723O4.8	62.83	911
ENSG00000243483.RP11-572M11.2	45.88	424
ENSG00000267236.RP11-618P17.3	52.61	19098
ENSG00000222778.RNA5SP144	46.55	115
ENSG00000106511.MEOX2	34.86	75600
ENSG00000144847.IGSF11	38.47	245511
ENSG00000100412.ACO2	50.27	59864
ENSG00000166359.WDR88	48.81	43705
ENSG00000101977.MCF2	37.72	126457
ENSG00000260722.VN1R67P	46.33	912
ENSG00000184032.KRTAP20-2	47.14	383
ENSG00000106635.BCL7B	49.06	21646
ENSG00000240682.ISY1	45.22	33878
ENSG00000140521.POLG	52.53	18558
ENSG00000232279.GS1-204I12.1	35.72	21343
ENSG00000248050.RP11-422N16.3	49.92	3969
ENSG00000171124.FUT3	51.90	8586
ENSG00000166140.ZFYVE19	53.46	7483
ENSG00000232214.RP11-84P7.2	44.09	8237
ENSG00000197445.C16orf47	44.14	17810
ENSG00000132535.DLG4	55.23	30160
ENSG00000264597.Metazoa_SRP	57.45	281
ENSG00000232734.ATP5G1P7	53.75	399
ENSG00000232745.ANKRD20A14P	35.54	23703
ENSG00000269644.RP13-346H10.2	49.14	813
ENSG00000215945.AC021613.1	36.89	102
ENSG00000263898.MIR4793	60.92	86
ENSG00000146072.TNFRSF21	41.38	78373
ENSG00000165661.QSOX2	54.55	39508
ENSG00000220993.AC007611.1	34.41	92
ENSG00000259405.ISCA1P4	50.75	133
ENSG00000170683.OR10A3	43.17	1060
ENSG00000253802.CTA-392C11.1	38.68	44661
ENSG00000250439.FGD5P1	56.75	4436
ENSG00000233796.AC089999.1	68.23	361
ENSG00000258282.BTF3P2	43.33	486
ENSG00000156928.MALSU1	41.44	12990
ENSG00000077514.POLD3	41.72	175266
ENSG00000180019.AC079741.2	42.92	211
ENSG00000265960.AL365181.1	58.00	99
ENSG00000224821.COL4A2-AS2	51.77	12020
ENSG00000202089.U6	35.35	98
ENSG00000233232.NPIPL1	45.75	14175
ENSG00000199180.MIR18A	41.30	91
ENSG00000223901.AP001469.5	54.53	1809
ENSG00000257034.AL021707.2	59.15	753
ENSG00000253683.CTB-79E8.3	51.04	191
ENSG00000214003.ATP5F1P3	43.84	656
ENSG00000258737.SUB1P2	45.85	638
ENSG00000267800.RP11-49K24.5	41.76	272
ENSG00000255349.OR4A7P	41.87	909
ENSG00000252617.SNORA70	52.63	94
ENSG00000221051.AC118344.1	52.27	87
ENSG00000139631.CSAD	47.92	23687
ENSG00000229018.RP11-313P13.3	46.89	79685
ENSG00000252995.U6	44.12	101
ENSG00000173503.LTA	57.85	2272
ENSG00000239115.RNU7-67P	41.94	61
ENSG00000212242.RNA5SP219	46.90	112
ENSG00000262898.AC139099.4	49.50	33476
ENSG00000259935.RP11-519C12.1	30.82	1232
ENSG00000236405.UBQLN1P1	41.75	1168
ENSG00000228314.CYP4F29P	50.65	5231
ENSG00000266715.MIR5090	63.53	84
ENSG00000233798.AL583842.2	35.43	18968
ENSG00000229474.PATL2	42.90	45584
ENSG00000227177.AIMP1P2	44.23	311
ENSG00000100557.C14orf105	39.97	24566
ENSG00000266329.MIR4281	77.42	61
ENSG00000138379.MSTN	33.19	6845
ENSG00000230422.TMPOP1	48.44	1537
ENSG00000143367.TUFT1	45.93	43278
ENSG00000235988.RP11-495P10.4	63.75	330
ENSG00000168806.LCMT2	52.23	2829
ENSG00000111653.ING4	47.73	12868
ENSG00000257906.RP1-90J4.1	43.23	5171
ENSG00000249104.USP17L17	52.29	1592
ENSG00000228161.LL22NC03-23C6.15	53.70	161
ENSG00000260729.RP11-106M3.2	45.88	91254
ENSG00000269262.RP11-145E17.2	61.08	1466
ENSG00000113194.FAF2	42.96	62446
ENSG00000238319.snoU13	40.38	103
ENSG00000249203.RP11-473L15.3	35.98	14664
ENSG00000197376.OR8S1	41.12	22543
ENSG00000255882.RP11-290C10.1	31.34	2781
ENSG00000222071.MIR1915	78.75	79
ENSG00000151023.ENKUR	38.08	34177
ENSG00000268079.RP11-157B13.6	42.81	875
ENSG00000227025.HCG4P3	65.46	995
ENSG00000240480.RPL29P2	54.49	656
ENSG00000221062.MIR1292	71.21	65
ENSG00000201898.SNORA72	35.43	126
ENSG00000233129.RP5-837O21.2	29.90	765
ENSG00000269281.RP13-77O11.7	47.23	270
ENSG00000258101.RP11-977B10.2	46.23	31187
ENSG00000248935.CTD-2254N19.1	36.97	11771
ENSG00000147119.CHST7	44.78	24624
ENSG00000258825.AL133168.3	49.72	12213
ENSG00000254975.RP11-672A2.3	53.20	28116
ENSG00000215964.AC055813.1	46.88	63
ENSG00000240567.RP11-3P17.4	38.51	21815
ENSG00000232845.TRAPPC2P9	37.04	2745
ENSG00000207447.RNU6-2	45.79	106
ENSG00000102290.PCDH11X	35.82	843969
ENSG00000172809.RPL38	48.98	7073
ENSG00000166363.OR10A5	47.34	1053
ENSG00000179922.ZNF784	58.47	3859
ENSG00000103226.NOMO3	45.52	62316
ENSG00000233952.FTLP15	49.06	531
ENSG00000198643.FAM3D	51.08	32902
ENSG00000229472.RP1-64K7.4	53.12	799
ENSG00000256884.RP11-64B16.3	51.03	2419
ENSG00000015592.STMN4	48.03	23097
ENSG00000212144.U8	39.84	127
ENSG00000257326.CR936880.1	51.18	169
ENSG00000228144.TMBIM4	40.04	46068
ENSG00000163993.S100P	53.41	4101
ENSG00000259185.RP11-56B16.4	33.47	740
ENSG00000239494.Metazoa_SRP	54.88	296
ENSG00000255149.RP11-97I14.1	43.48	183
ENSG00000240556.RP11-479I1.4	41.74	4146
ENSG00000235430.ZSWIM5P1	53.84	2709
ENSG00000206921.U6	39.25	106
ENSG00000250244.CTB-49A3.4	49.29	19485
ENSG00000139278.GLIPR1	37.74	23173
ENSG00000241163.RP11-398A8.3	45.12	207265
ENSG00000258406.RP11-88E18.1	50.23	873
ENSG00000160055.TMEM234	51.48	7899
ENSG00000259884.RP11-1100L3.8	54.93	1044
ENSG00000234213.FHP1	42.96	702
ENSG00000172464.OR5AP2	43.34	1005
ENSG00000176101.SSNA1	65.89	1723
ENSG00000221412.AC124861.2	50.68	145
ENSG00000261277.RP11-69H14.8	43.54	920
ENSG00000107404.DVL1	66.24	14074
ENSG00000188086.PRSS45	42.13	70466
ENSG00000178163.ZNF518B	42.15	17536
ENSG00000220773.RP3-334F4.1	49.89	883
ENSG00000134779.TPGS2	42.60	49171
ENSG00000203630.AL136531.1	51.51	1327
ENSG00000167112.TRUB2	51.44	13639
ENSG00000265976.MIR4725	63.33	89
ENSG00000224513.AC109309.4	61.85	6777
ENSG00000237215.ABC12-47043100G14.2	34.17	6109
ENSG00000105373.GLTSCR2	57.20	11536
ENSG00000252140.SNORD22	45.60	124
ENSG00000242272.AK2P2	52.84	404
ENSG00000260741.CTC-391G2.1	46.27	18226
ENSG00000246016.RP11-1C1.7	51.00	2938
ENSG00000211699.TRGV3	49.46	650
ENSG00000231804.RP11-317B17.3	41.56	473
ENSG00000177084.POLE	52.22	213042
ENSG00000228118.LOC124685	49.46	458
ENSG00000086504.MRPL28	63.56	3641
ENSG00000108433.GOSR2	46.72	104520
ENSG00000171703.TCEA2	61.58	22511
ENSG00000253907.RP11-380I10.3	55.67	475
ENSG00000231316.RP11-134L4.2	47.20	338
ENSG00000169967.MAP3K2	38.69	89735
ENSG00000242779.ZNF702P	45.63	69647
ENSG00000266994.RP11-127I20.7	52.47	22450
ENSG00000167074.TEF	51.78	31993
ENSG00000164366.CCDC127	50.59	13458
ENSG00000256980.KHDC1L	52.09	2226
ENSG00000258891.RP5-1021I20.5	41.85	41950
ENSG00000248968.CTD-2256P15.1	51.23	1590
ENSG00000184470.TXNRD2	54.09	66301
ENSG00000250133.HOXC-AS2	59.51	1577
ENSG00000236399.TRIM40	42.61	12620
ENSG00000105137.SYDE1	60.24	7585
ENSG00000241721.SUMO1P1	40.85	305
ENSG00000257434.RP11-81K13.1	36.43	23824
